cor,V2,V3,N2,N1
0.945780112980308,3355971,3323331,53,55
0.94487284659557,3323331,3301872,53,53
0.934198732993828,3489846,2959693,40,36
0.926797385620915,3241161,3074302,15,15
0.91848393380479,3355971,3301872,53,55
0.906013986013986,2997438,2937461,25,25
0.873703313790899,2554389,2249019,33,36
0.866403546443272,3355971,2754267,57,55
0.866195198617962,3301872,2754267,57,53
0.855723004352783,2740756,2706498,50,46
0.841053137106666,3425278,2815069,35,43
0.83826521671984,3446062,865186,112,103
0.834962807279693,2775485,2640064,116,114
0.828845532538606,865186,770641,109,112
0.828671621715543,2775485,2220399,109,114
0.828058509330413,3498241,3009302,21,17
0.822753648672411,3472104,924282,47,47
0.821971034969975,3441758,3290397,19,19
0.82067729824616,2874859,2775485,114,106
0.812088192346232,3391134,505043,111,115
0.810768243687412,3365724,2874859,106,103
0.809672517181548,3448852,2664718,85,87
0.809231086349942,3344888,3344269,75,79
0.808492505172566,3440233,3184304,22,19
0.806043350169792,2905417,865186,112,100
0.804200242459917,3337435,3330732,53,45
0.804181741407037,3455361,2953309,122,123
0.803872288290768,3158025,179208,121,126
0.802846395157571,3158025,2640064,116,126
0.802113008568362,3236245,2640064,116,120
0.801971040118264,2775485,2504699,109,114
0.80025680809607,3236077,3184304,22,32
0.798921394448842,3489897,505043,111,114
0.79704128840511,3370555,3185666,53,56
0.795398699176865,2874859,2640064,116,106
0.793595173921362,2838827,2813453,122,120
0.791974803002135,2775485,1990913,121,114
0.790031213125445,3441449,2761330,34,38
0.789602004961533,2749598,1583290,115,122
0.788829879644062,2409013,2243482,26,30
0.788492846568306,2775485,1015147,98,114
0.787881859857295,3455304,505043,111,102
0.787869391797091,3365724,2775485,114,103
0.78784938951487,3440514,2874859,106,101
0.787439176773515,2640064,179208,121,116
0.787101929411854,2908452,2640064,116,123
0.786956519571909,2220399,488099,102,109
0.785034689210367,2855053,505043,111,115
0.783437333546949,2813453,865186,112,122
0.783216849481467,2775485,2084007,105,114
0.782623792124926,2838827,865186,112,120
0.781695402686292,2199414,505043,111,99
0.780816935927605,2066093,179208,121,108
0.780784533346762,2966467,2874859,106,113
0.780392156862745,469458,467837,15,15
0.780303472480127,3425126,3418084,29,23
0.780002388049415,3158025,2775485,114,126
0.779379506903769,3441977,3073772,124,119
0.779013481661664,3456643,2775485,114,107
0.778543157386647,2775485,2380317,118,114
0.777871757062401,3236245,2775485,114,120
0.775327433463961,505043,390600,110,111
0.774766588170669,2905417,2013480,91,100
0.773528067077481,3190129,1546551,119,110
0.773402083240864,1632600,505043,111,112
0.773296817726698,3135211,179208,121,132
0.773267952777602,2855053,390600,110,115
0.772972972972973,2746905,2733671,20,20
0.772705837662607,3227799,3205484,58,71
0.772354022749736,3236245,2874859,106,120
0.771155870687329,3171155,2640064,116,111
0.770845573737519,1831727,1365915,30,45
0.76986942630039,3384920,2679467,112,115
0.769507803121249,3271077,1546551,119,119
0.769227081453919,2966467,2775485,114,113
0.769008495135886,3335341,2779729,33,31
0.768929050933526,1618610,865186,112,117
0.768897956046126,3501653,3356878,15,18
0.768378616766059,3440722,3009302,21,17
0.768171838388118,1546551,1443076,107,119
0.767571598917257,2768690,865186,112,106
0.766967306859032,3469677,2775485,114,115
0.765729507034795,2656557,108922,107,113
0.765027277702427,2193778,865186,112,101
0.763874254029413,3158025,2746284,125,126
0.763783884330059,3105333,2775485,114,108
0.763510185525075,2640064,2327355,103,116
0.763311143283963,3467429,505043,111,109
0.762453036625988,2975535,1546551,119,109
0.762251709072659,3496260,3493793,84,69
0.762074686979165,3307942,1878832,117,116
0.761730267418478,3469677,2220399,109,115
0.761710149370718,2166861,730674,126,115
0.761700538926013,2775485,2327355,103,114
0.761330299181249,3410946,2072386,112,110
0.761049418562349,2736891,2047719,27,28
0.760896748173617,2908452,179208,121,123
0.760725774312731,3415580,730674,126,120
0.76048614231928,3455304,3448852,87,102
0.760119230860557,3227185,2640064,116,119
0.759239330869946,1014409,505043,111,113
0.758473135490709,2874859,2081559,96,106
0.758319361756275,3440549,3433625,69,55
0.757981186074502,2166861,505043,111,115
0.757574350172772,3269696,3073772,124,122
0.756398081281093,2874859,2151656,107,106
0.755635864587999,2101849,370108,16,23
0.755277621840932,3286235,3158025,126,122
0.755254740611815,2904488,2874859,106,109
0.754936655954777,2855053,2768690,106,115
0.754871186676625,2538827,865186,112,118
0.75470685875168,2855053,1014409,113,115
0.754675488897752,2151656,48911,108,107
0.754613221193311,3382517,2874859,106,111
0.75452816733852,3467429,2199414,99,109
0.754006360752351,1015147,488099,102,98
0.75366568914956,3073772,2711522,124,124
0.752941176470588,2952551,2564685,100,100
0.752874202535648,2640064,2151656,107,116
0.752851831962599,2220399,1154897,108,109
0.752850875602256,2775485,1905415,97,114
0.752708199655558,3174176,865186,112,107
0.752509985323236,2775485,108922,107,114
0.75204268145283,2966467,179208,121,113
0.752004765299834,2905417,282802,102,100
0.751517673712083,3279144,3224714,108,111
0.751455388159601,2671489,505043,111,101
0.751251838448549,3378701,3031314,107,94
0.751216179285483,2775485,488099,102,114
0.750698115276498,3190375,1878832,117,108
0.750651890605469,3463821,3383786,30,28
0.750604937441684,3236245,179208,121,120
