"start","end","winner","forfeit","ID","fid1","score1","atk1","resp1","pts1","cache1","rb1","ra1","membs1","fid2","score2","atk2","resp2","pts2","cache2","rb2","ra2","membs2","win1","win2","rew1","rew2"
1701435600,1701656847,47859,0,9706,"47859",3051,684,1505,22613500,6.25e+08,"Bronze III","Silver I",16,"50457",880,181,817,0,0,"Bronze II","Bronze I",23,TRUE,FALSE,647613500,0
1701374400,1701698520,50516,0,9707,"48097",2054,571,801,12012000,3.6e+08,"Bronze II","Bronze I",20,"50516",3111,616,2509,0,0,"Bronze II","Bronze III",19,FALSE,TRUE,0,0
1701543600,1701676675,15644,0,9708,"8811",21813,2585,3998,60014500,1.445e+09,"Gold II","Gold I",81,"15644",30863,3363,9674,145236000,3.88e+09,"Gold I","Gold II",83,FALSE,TRUE,0,4025236000
1701450000,1701604856,39580,0,9709,"39580",3197,1057,3102,46592000,1.085e+09,"Bronze II","Bronze III",29,"50157",69,15,503,0,0,"Bronze III","Bronze II",20,TRUE,FALSE,1131592000,0
1701360000,1701688324,50467,0,9710,"50467",3578,960,1894,0,8.5e+08,"Bronze II","Bronze III",26,"50622",2393,585,1092,0,4.15e+08,"Bronze I","Bronze",19,TRUE,FALSE,8.5e+08,0
1701439200,1701470563,43325,0,9711,"15595",1895,364,3796,57011500,1.54e+09,"Gold","Silver III",82,"43325",12197,1514,9625,144508000,3.98e+09,"Gold","Gold I",71,FALSE,TRUE,0,4124508000
1701363600,1701618277,50418,0,9712,"49306",829,258,652,9782500,2.35e+08,"Bronze II","Bronze II",16,"50418",2421,600,2295,0,7.9e+08,"Bronze I","Bronze II",14,FALSE,TRUE,0,7.9e+08
1701457200,1701671173,48443,0,9713,"48443",10773,1759,4252,63836500,1.625e+09,"Silver","Silver I",41,"49411",6546,1414,1265,18973500,5e+08,"Bronze III","Bronze II",54,TRUE,FALSE,1688836500,0
1701381600,1701554034,15930,0,9714,"15930",9313,1203,14951,224497000,5.685e+09,"Platinum I","Platinum II",35,"20341",3840,717,2780,41723500,1.025e+09,"Platinum","Gold III",29,TRUE,FALSE,5909497000,0
1701475200,1701669615,20211,0,9715,"10940",1173,216,1032,15515500,4.15e+08,"Gold I","Gold",16,"20211",4394,899,7639,114705500,2.98e+09,"Gold I","Gold II",23,FALSE,TRUE,0,3094705500
1701439200,1701477538,36891,0,9716,"8085",3837,448,3413,51233000,1.275e+09,"Platinum I","Platinum",81,"36891",18043,1401,14702,220766000,5.585e+09,"Platinum II","Platinum III",93,FALSE,TRUE,0,5805766000
1701543600,1701578492,23952,0,9717,"23193",3123,420,4355,65383500,1.72e+09,"Platinum I","Platinum",51,"23952",14025,1444,10608,159295500,4.25e+09,"Platinum II","Platinum III",66,FALSE,TRUE,0,4409295500
1701360000,1701381125,8954,0,9718,"8076",1031,134,1906,28619500,7.35e+08,"Gold III","Gold III",81,"8954",12438,1021,10372,155746500,4.13e+09,"Gold II","Gold III",94,FALSE,TRUE,0,4285746500
1701475200,1701654442,40518,0,9719,"40518",4543,1076,3383,50778000,1.33e+09,"Gold II","Gold III",18,"48680",1509,371,2006,30121000,7.75e+08,"Gold II","Gold I",17,TRUE,FALSE,1380778000,0
1701450000,1701615655,37803,0,9720,"37803",4053,677,4626,69478500,1.78e+09,"Gold III","Platinum I",17,"43785",967,150,1259,18882500,5e+08,"Gold III","Gold II",16,TRUE,FALSE,1849478500,0
1701349200,1701658856,50556,0,9721,"50005",414,134,530,0,1.8e+08,"Bronze II","Bronze I",12,"50556",1514,476,1627,0,6.5e+08,"Bronze I","Bronze II",15,FALSE,TRUE,0,6.5e+08
1701493200,1701777772,49213,0,9722,"48402",1278,308,980,14696500,2.35e+08,"Silver I","Silver I",13,"49213",2777,599,2974,0,1.085e+09,"Silver II","Silver III",15,FALSE,TRUE,0,1.085e+09
1701522000,1701709255,13138,0,9723,"13138",5214,1023,5139,77168000,2.015e+09,"Gold","Gold I",30,"49319",1430,252,2065,30985500,6.8e+08,"Gold I","Gold",25,TRUE,FALSE,2092168000,0
1701424800,1701820855,50653,0,9724,"50207",1794,416,571,0,1.8e+08,"Unranked","Unranked",13,"50653",2115,498,1354,0,0,"Unranked","Bronze I",11,FALSE,TRUE,0,0
1701532800,1701579298,15083,0,9725,"7986",3054,438,3417,51324000,1.195e+09,"Platinum I","Platinum",50,"15083",12062,1257,13519,202975500,5.115e+09,"Platinum","Platinum I",46,FALSE,TRUE,0,5317975500
