fac1,fac2,fac1_name,fac2_name,wstart,wid,week
50579,51166,Trash Bandits,Bigger on the Inside,1737068400,21232,2025_3
49384,50890,Organised Chaos,Wartopia,1737223200,21231,2025_3
20211,50279,CR-ACK,Eclipse Utopia,1737234000,21230,2025_3
9305,10739,Legitimate Business,The Next Level - Forge,1737230400,21229,2025_3
9055,22887,Natural Selection IV,Resilience,1737219600,21228,2025_3
7835,8422,Monarch Mutation,Monarch Cupid,1737129600,21227,2025_3
8062,9420,Ruthless Reborn,Berserk,1737234000,21226,2025_3
51218,52650,Magus Optimum,The Hansa,1737050400,21225,2025_3
6834,8795,TBA - Rise Above,The Brotherhood of Battle,1737234000,21224,2025_3
16296,48058,School of Devlins,Banty Shack,1737223200,21223,2025_3
52380,52870,The Klingon Empire,Murder,1737079200,21222,2025_3
50274,50643,Forbidden Realm,Caramel Chocolate Winter,1737061200,21221,2025_3
50793,53051,Money Obligated Beast,Embers,1737212400,21220,2025_3
52686,52726,The Eclipsed Order,Nine Hells - Avernus,1737169200,21219,2025_3
46700,49646,Bleeding Streets,Immortal Warriors,1737237600,21218,2025_3
11131,47648,Infernum Perdition,Rising Heroes,1737241200,21217,2025_3
49793,51141,GANGSTA CARTEL HQ,monark krisalis,1737169200,21216,2025_3
40951,49430,TBA-Rise Again,55th Street,1737226800,21215,2025_3
41291,49585,UNDERWORLD ASSASSINS,Ghost Vipers,1737151200,21214,2025_3
5431,16247,[Redacted],Capacity X,1737237600,21213,2025_3
52336,53142,The Wolves of Wall Street,Project Xanax,1737208800,21212,2025_3
48769,50440,The Coalition,The Desert Rats.,1737032400,21211,2025_3
23193,40518,Materia,Monarch Optimus,1737223200,21210,2025_3
49685,52246,Democratic strike,The Classroom,1737219600,21209,2025_3
1117,38847,Ascension,Vigilantes,1737237600,21208,2025_3
16696,47710,PT-Guemedolphinos,PT-GuemLand,1737151200,21207,2025_3
52032,52429,War Criminals,The FYA 2,1737036000,21206,2025_3
14386,44376,Blue Rock Cartel (BRC),The Fellowship Warriors,1737072000,21205,2025_3
15655,40399,Ravage,WIT-Mayhem,1737223200,21204,2025_3
52431,52764,D.T.S,Arctic Vanguard INC,1737223200,21203,2025_3
40380,42872,Seshlehem,Ares Kratos,1737054000,21202,2025_3
19060,48184,Fallout,Soulless Mafia,1737151200,21201,2025_3
52904,53153,The Cavemen,Brotherhood of the Glade,1736996400,21200,2025_3
27223,41929,Stompers,Valor,1737122400,21199,2025_3
43123,49782,Penguins with Guns,Den Legends,1737162000,21198,2025_3
