cor,V2,V3,N2,N1
0.915094339622642,2997438,2937461,25,25
0.879740755583419,3497354,3475691,53,51
0.871385867199203,3464363,3356898,37,38
0.855430702789689,2554389,2249019,34,36
0.847032508549696,3315130,3284903,22,20
0.843547095507809,3326766,3325141,28,27
0.837124452705525,3241161,3074302,16,15
0.815099700892772,3130722,2724608,30,40
0.807765113444687,3496816,3495046,18,20
0.792879935070269,3492072,3485347,71,66
0.792691388695119,1979864,882255,15,17
0.785087719298246,2825106,1566810,21,21
0.782387952128982,3498241,3009302,21,16
0.777833542359581,3332957,3199651,17,16
0.773565584423155,1815296,1814555,24,17
0.771796772464082,938470,435646,16,15
0.771604692946376,3462665,3457270,24,21
0.771338518854074,3496285,2897766,16,17
0.771297409552009,3478300,3477040,15,15
0.768440661656477,3159830,2082336,15,17
0.766536454051824,3030457,2689507,59,54
0.763692356742133,3485270,3306450,23,22
0.76301449321599,3424508,3275274,15,22
0.762631806436352,2999677,2659562,102,111
0.758011140439708,2942895,1953688,15,17
0.757375696306994,1971648,714955,16,16
0.757350460322481,2461602,1370259,20,17
0.757251474506013,2759365,2756889,16,24
0.755089187646236,3355971,3323331,53,55
0.754530242830532,2151697,2016642,20,16
0.753536088854193,3459347,2683569,17,19
0.753374000240497,2889423,2671376,24,25
0.752528596569977,3485270,3009302,21,22
0.751845405133767,2999677,1154897,104,111
0.751684727707981,2854310,2826063,23,15
0.750636132315522,2467126,2165664,15,15
0.750514070325188,2630241,42161,19,15
0.75,3416801,3362100,45,31
0.749491892050485,3340601,685661,18,16
0.749353739739858,3303335,3298046,19,21
0.749305023409198,3320122,2983366,51,43
0.748524537386355,2082336,1640064,19,15
0.748008282292158,3480409,3277383,15,22
0.746466999525906,3279781,2734005,16,25
0.745374715313787,3498241,3459249,19,16
0.744904567740485,3271697,2671376,24,19
0.744892324682496,3401447,2166569,16,16
0.744850066093426,2555827,1909554,15,18
0.74411056905359,3171381,1842621,18,19
0.743625156203453,1515996,789872,17,16
0.74294982942215,3172045,642144,23,20
0.742608728240599,3413077,3141146,18,15
0.741778988446653,3159830,3128304,23,17
0.741738721797491,3303420,2009819,15,21
0.7406428021605,3165679,1646308,19,16
0.740289910437264,3105703,2049374,17,16
0.739977426101148,2127793,135360,17,18
0.73934264249563,2667027,2321702,25,28
0.739303909273727,3465777,3419565,19,21
0.739119018853207,3452045,2200016,16,17
0.739043826691788,3487777,3339535,29,30
0.738890755460206,2427400,2369148,16,20
0.738767178678361,3446062,2193778,103,105
0.737186706873077,2843996,2717866,29,46
0.737139704909169,3446062,865186,105,105
0.736961341527537,3105703,2219708,26,16
0.736658057620189,1423702,89303,15,16
0.736625514403292,3153371,1909132,18,18
0.736556088847804,2916982,488099,99,87
0.736514199728248,2878160,2325196,23,16
0.736320421696086,3469887,2225242,18,15
0.736235662069672,3497613,1289614,28,23
0.735636223736915,2683569,2151697,16,17
0.735429789379445,3355971,2754267,56,55
0.73463692772478,2743373,2197532,17,19
0.734491605847795,3467203,3465077,39,38
0.734237212323873,3491216,3387946,27,36
0.733646316104828,2844156,1834033,15,16
0.733476731362294,3170193,1566810,21,31
0.733390182017123,2671212,2668340,19,30
0.733333514579765,2599400,2027229,22,17
0.73241506757196,2322568,375538,15,16
0.732266534663326,1268564,1137187,19,15
0.732239816327506,2692680,2131659,20,21
0.731774432958261,3344888,3344269,74,76
0.731456509790169,2964718,2266695,24,20
0.731452089534652,3357147,2477854,37,27
0.73107273282894,3469887,3382032,16,15
0.731058443241961,2743373,2128128,15,19
0.730769230769231,2914164,2225242,18,18
0.730493076030868,3392564,234790,18,16
0.73017507594021,2757763,2448844,19,20
0.729903536977492,2597647,2109605,17,17
0.729069413979502,3159830,1640064,19,17
0.729032258064516,3491124,1640064,19,19
0.728226801266889,1287203,989729,70,71
0.728106519373964,3502016,1723071,24,18
0.728007997551855,2915244,1971648,16,19
0.727684744992103,1927658,282687,19,15
0.727593920873988,3479855,2665361,28,21
0.727114882338392,3497686,1859980,76,73
0.726751566427252,3079036,2898593,18,21
0.726594463974079,3377641,1679929,17,17
0.726546024305247,2511012,190950,19,15
0.72494538160538,3183155,2840841,17,17
0.724792917504114,3197522,689907,20,17
0.724619136047444,2702700,206758,32,19
0.724421757255509,2343082,2236427,40,38
0.723796044830709,2671376,1289614,28,24
0.723761671941214,3468331,3340601,16,21
0.723508496925,622832,617925,59,53
0.723330892184296,2107600,89303,15,17
0.723303685007941,3497613,2671376,24,23
0.72318440646206,3498163,2185634,22,15
0.722822081883305,3047413,1895261,15,21
0.722726426489358,2791475,2530248,21,16
0.722715081493708,2410271,492488,16,16
0.722119108411628,3382032,1414013,24,16
0.722044244348916,1089425,118944,17,15
0.722026097426648,3028616,2012173,23,17
0.721946944713383,3193259,1035227,17,21
0.721850851175919,3400358,2174754,18,19
0.721822128192847,3062280,980378,17,23
0.721549115486895,3455304,3011377,94,101
0.721184049431663,3407808,1999433,26,17
0.72114762691821,3216303,1566810,21,16
0.72084969529088,3455304,3206908,101,101
0.72021836082438,2989384,518368,20,15
0.720198806594191,2617864,2349024,26,15
0.720135164538321,3053702,1747806,17,20
0.71972274193104,2331179,1365596,16,16
0.7193204086465,3231653,2142605,20,15
0.719304462514406,3144688,3131620,15,23
0.719117700349599,3242094,3081200,17,15
0.718651458480501,3497613,2720504,27,23
0.718335231715399,3277383,335249,29,15
0.718232055978791,2117426,2026763,68,65
0.717958849108113,2964314,2720504,27,20
0.717943702744774,2551895,2450733,19,21
0.717932888654823,2694246,195548,16,19
0.717895502319053,3128304,2082336,15,23
0.717275155563659,1864006,681394,91,103
0.717110449665425,3123844,2999677,111,107
0.716814159292035,3277383,3231653,15,15
