fac1,fac2,fac1_name,fac1_name,fac1_name,fac2_name,fac2_name,fac2_name,wstart,wend,winner,week
48848,49953,Torn 4 Life,0,0,4.20,0,0,1737226800,0,0,2025_3
41066,44092,Mickey Mouse Reaperhouse,0,0,PERMANENT VACATION,0,0,1737226800,0,0,2025_3
50783,52932,Army of Terror HQ,0,0,Elite Hunters,0,0,1.737e+09,0,0,2025_3
48180,50723,Talented,0,0,Shaggers,0,0,1737230400,0,0,2025_3
52451,52699,Vanguards Combine,0,0,PATERNOSTER,0,0,1737201600,0,0,2025_3
50510,51541,Ca$hmere Talon$,0,0,DirtyDogMilitants,0,0,1737176400,0,0,2025_3
42911,49488,The Black Box,0,0,EIRE Ranger Wing WAR,0,0,1737234000,0,0,2025_3
46567,48628,T.N.U. - Kill Squad,0,0,OccamsRazers,0,0,1737072000,0,0,2025_3
49070,51197,Fire of Zephyr,0,0,Birds of Passage,0,0,1737162000,0,0,2025_3
13421,40624,Wild Guardians,0,0,Toxic Reign,0,0,1737216000,0,0,2025_3
48911,49297,Mickey Mouse Clubhouse II,0,0,Shaggy Hi-Fidelity,0,0,1737237600,0,0,2025_3
89,9412,Catalysis,0,1,BLACK STATUES,0,1,1737234000,0,0,2025_3
52090,53136,Endiness,0,0,Rogue Juniors,0,0,1737025200,0,0,2025_3
26312,48040,JFK - Misfits,0,0,The Psychonauts,0,1,1737241200,0,0,2025_3
2013,11428,Subversive  Alliance,0,0,Swiss Squad,0,0,1737151200,0,0,2025_3
51815,53111,Drugs are us,0,0,The Kok Rocket,0,0,1737064800,0,0,2025_3
231,8151,Destructive Anomaly,0,0,Chromatic,0,1,1737234000,0,0,2025_3
48563,51078,Morty&#039;s Mindblowers,0,0,Astral Alliance,0,0,1737133200,0,0,2025_3
50964,52756,The Council Gods,0,0,NO F0CKS GIVEN,0,0,1737219600,0,0,2025_3
47042,49624,Risky Business,0,0,LA LIMBO CARTEL HQ (LLC),0,0,1737036000,0,0,2025_3
8317,31764,Naughty Souls,0,0,39th Street Warriors,0,0,1737147600,0,0,2025_3
22295,36891,Aquarius,0,0,FLATLINE,0,0,1737050400,0,0,2025_3
