fac1,fac2,fac1_name,fac2_name,wstart,wid,week,fac1_total,fac1_okay,fac1_hosp,fac1_travel,fac1_jail,fac1_pct,fac2_total,fac2_okay,fac2_hosp,fac2_travel,fac2_jail,fac2_pct,timestamp
50754,52418,Th3 Illuminati,The BellaNostra Family,1743706800,24080,2025_14,14,10,1,2,0,0.71,13,12,0,1,0,0.92,1743706817.65235
27312,28349,SA Succession,Dexter&#039;s Laboratory,1743692400,24072,2025_14,99,87,2,9,0,0.88,81,39,37,5,0,0.48,1743706817.65235
11898,48680,Attack Mode,BlackWatch,1743706800,24069,2025_14,26,2,24,0,0,0.08,38,8,27,2,0,0.21,1743706817.65235
41066,52870,Reaperhouse,Department of Injustice,1743706800,24067,2025_14,21,19,1,1,0,0.9,15,4,9,1,0,0.27,1743706817.65235
9171,24106,Occul2us,The Almanac,1743692400,24062,2025_14,13,0,11,2,0,0,15,0,14,1,0,0,1743706817.65235
8422,18569,Monarch Cupid,Romania Elite Kommando,1743688800,24058,2025_14,99,89,1,9,0,0.9,91,78,0,12,0,0.86,1743706817.65235
9370,20514,Cipher,DropBears,1743706800,24055,2025_14,68,54,10,4,0,0.79,80,68,6,5,0,0.85,1743706817.65235
48109,50490,Tribunal Shadows,Heathen Saints,1743699600,24041,2025_14,23,1,20,2,0,0.04,30,12,10,5,0,0.4,1743706817.65235
42961,48179,The Rebel Army,The Corleone Family,1743706800,24035,2025_14,21,15,5,1,0,0.71,24,24,0,0,0,1,1743706817.65235
50960,52777,The District,Evil Angels,1743706800,24029,2025_14,15,11,0,4,0,0.73,19,15,2,1,0,0.79,1743706817.65235
9100,40624,The Black Hand,Toxic Reign,1743703200,24025,2025_14,69,33,30,3,0,0.48,80,39,31,5,0,0.49,1743706817.65235
50568,52042,The Saiyan Force,Perfectly Violent Society,1743696000,24019,2025_14,15,6,7,1,0,0.4,13,12,0,1,0,0.92,1743706817.65235
52915,53489,GAMER INC,The Horrow of Leadership,1743699600,24016,2025_14,17,15,1,1,0,0.88,14,0,14,0,0,0,1743706817.65235
53465,53631,SaucySphincters,TheProNoobZ,1743692400,24012,2025_14,15,3,12,0,0,0.2,14,6,6,1,0,0.43,1743706817.65235
50699,53195,Star-Light-Warriors,Hippie Mafia,1743706800,24008,2025_14,15,8,3,3,0,0.53,16,9,5,2,0,0.56,1743706817.65235
15256,45421,Defenestration,Ricefields of Neverland,1743688800,24003,2025_14,15,14,0,1,0,0.93,11,11,0,0,0,1,1743706817.65235
13784,21665,WarBirds,Monarch Army of Light,1743688800,23999,2025_14,77,24,46,5,0,0.31,99,87,8,2,0,0.88,1743706817.65235
20554,40334,Rising Reckoning,Sentinels,1743703200,23989,2025_14,42,8,30,4,0,0.19,35,11,24,0,0,0.31,1743706817.65235
2736,21526,Itsi Bitsi Bikini,NS Bomb Shelter,1743703200,23978,2025_14,94,78,6,9,0,0.83,100,91,7,0,0,0.91,1743706817.65235
51674,52834,NOVA Warmonger,Mullet Mafia,1743706800,23976,2025_14,17,15,0,1,0,0.88,25,20,3,2,0,0.8,1743706817.65235
52953,53458,Sinful Sacrosanct,Yellowstone,1743706800,23969,2025_14,13,12,1,0,0,0.92,13,11,0,2,0,0.85,1743706817.65235
8989,16628,JUX HQ,Chain Reaction,1743699600,23967,2025_14,88,25,54,8,0,0.28,92,81,5,5,0,0.88,1743706817.65235
52775,53397,Torn Metropolitan City,The Devil&#8217;s Lounge,1743681600,23964,2025_14,27,25,0,2,0,0.93,20,1,17,1,0,0.05,1743706817.65235
48433,53295,THE RICK HORRORS,Blackout Division,1743652800,23962,2025_14,19,14,5,0,0,0.74,18,6,8,2,0,0.33,1743706817.65235
52677,53231,The Lions Den,The Citadel,1743703200,23932,2025_14,14,1,8,1,0,0.07,20,9,9,2,0,0.45,1743706817.65235
8510,21234,Ara Pacis,Underground Nation,1743688800,23927,2025_14,92,72,2,11,1,0.79,81,1,67,6,0,0.01,1743706817.65235
37563,49147,TSFTS Moonshiners,Gladiators,1743688800,23921,2025_14,14,4,9,1,0,0.29,21,0,11,3,0,0,1743706817.65235
44222,52428,Anak Mama,Divine Inferno,1743685200,23911,2025_14,17,8,8,1,0,0.47,11,4,5,1,0,0.36,1743706817.65235
49069,51906,Unbroken Damage,Mouthy Mercs,1743703200,23907,2025_14,28,2,14,9,0,0.07,21,1,10,9,0,0.05,1743706817.65235
49247,50709,NF Outlaws,HF-Vengeance,1743678000,23905,2025_14,13,2,10,1,0,0.15,15,6,5,3,0,0.4,1743706817.65235
51716,53020,Develop (Hiring),Los Blancos Eldorado,1743699600,23902,2025_14,12,1,5,4,0,0.08,14,1,12,1,0,0.07,1743706817.65235
50498,53500,Biker&#039;s crew,M.F.H(Murder For Hire),1743638400,23899,2025_14,18,8,10,0,0,0.44,15,10,4,1,0,0.67,1743706817.65235
7115,15929,Republic Of Futuria,The Inquisition,1743681600,23886,2025_14,62,19,40,2,0,0.31,78,62,6,9,0,0.79,1743706817.65235
50230,50396,The Panturas,BPT,1743688800,23869,2025_14,17,6,10,0,0,0.35,18,11,3,2,0,0.61,1743706817.65235
51601,52431,Phoenix uprising,HF-Bloodline,1743706800,23867,2025_14,16,8,7,1,0,0.5,19,16,2,1,0,0.84,1743706817.65235
49862,53254,Dirty Mike and the Boyz,New Horizon,1743681600,23864,2025_14,30,13,13,4,0,0.43,30,11,14,5,0,0.37,1743706817.65235
8468,11581,Bloodbath and Beyond,Natural Selection III,1743699600,23860,2025_14,91,71,15,5,0,0.78,96,72,18,5,0,0.75,1743706817.65235
50169,52539,Iron Oath,The Ascension Project,1743699600,23851,2025_14,15,12,0,2,0,0.8,15,3,8,3,0,0.2,1743706817.65235
52032,53109,War Criminals,Cali Cartel,1743706800,23848,2025_14,17,1,16,0,0,0.06,15,5,4,5,0,0.33,1743706817.65235
28073,36134,Shiny Hoard Avian Team,SMTH - Silver Hand,1743688800,23845,2025_14,74,50,16,6,0,0.68,95,60,34,1,0,0.63,1743706817.65235
51516,53656,Vault 99,MCMH,1743649200,24104,2025_14,14,14,0,0,0,1,10,8,1,0,0,0.8,1743708613.61888
7986,8677,Assassin Team,Mana,1743692400,24093,2025_14,44,33,4,4,0,0.75,35,17,12,5,0,0.49,1743708613.61888
37803,44762,PT-PimpTuga,Monarch Retardation,1743706800,24088,2025_14,44,41,1,2,0,0.93,46,13,32,1,0,0.28,1743708613.61888
50516,51471,Blackjack and Hookers,The Forsaken Legion,1743696000,24085,2025_14,19,0,18,1,0,0,16,3,6,7,0,0.19,1743708613.61888
9503,15930,TSFTS Microbrewery,HellBound,1743706800,24082,2025_14,36,24,11,1,0,0.67,35,5,28,2,0,0.14,1743708613.61888
50754,52418,Th3 Illuminati,The BellaNostra Family,1743706800,24080,2025_14,14,10,0,2,0,0.71,13,4,7,2,0,0.31,1743708613.61888
27312,28349,SA Succession,Dexter&#039;s Laboratory,1743692400,24072,2025_14,99,87,2,9,0,0.88,81,66,11,4,0,0.81,1743708613.61888
11898,48680,Attack Mode,BlackWatch,1743706800,24069,2025_14,26,0,26,0,0,0,38,15,20,2,0,0.39,1743708613.61888
41066,52870,Reaperhouse,Department of Injustice,1743706800,24067,2025_14,21,12,8,1,0,0.57,15,3,11,0,0,0.2,1743708613.61888
9171,24106,Occul2us,The Almanac,1743692400,24062,2025_14,13,0,11,2,0,0,15,0,14,1,0,0,1743708613.61888
8422,18569,Monarch Cupid,Romania Elite Kommando,1743688800,24058,2025_14,99,90,1,6,0,0.91,91,79,0,12,0,0.87,1743708613.61888
9370,20514,Cipher,DropBears,1743706800,24055,2025_14,68,5,57,4,0,0.07,80,66,4,9,0,0.82,1743708613.61888
48109,50490,Tribunal Shadows,Heathen Saints,1743699600,24041,2025_14,23,2,19,1,0,0.09,30,1,20,6,0,0.03,1743708613.61888
42961,48179,The Rebel Army,The Corleone Family,1743706800,24035,2025_14,21,2,18,1,0,0.1,24,16,7,1,0,0.67,1743708613.61888
50960,52777,The District,Evil Angels,1743706800,24029,2025_14,15,13,0,1,0,0.87,19,5,12,1,0,0.26,1743708613.61888
9100,40624,The Black Hand,Toxic Reign,1743703200,24025,2025_14,69,25,37,6,0,0.36,80,37,33,6,0,0.46,1743708613.61888
50568,52042,The Saiyan Force,Perfectly Violent Society,1743696000,24019,2025_14,15,5,9,0,0,0.33,13,12,0,1,0,0.92,1743708613.61888
