uid,name,level,la,fid,faction,rankedwarhits,attackswon,xantaken,useractivity,retals,boostersused,energydrinkused,specialammoused,dukecontractscompleted,refills,total
191288,FinalFantasyX,80,1718867276,8400,Lingering Insanity,0.44,0.93,2.16,936.06,0.16,0.03,0.13,0.1,0.14,0.74,1462602042
1913313,Snowball,100,1718877519,13784,WarBirds,4.71,7.04,2.49,7123.47,0.08,0.18,0.18,83.61,1,0.9,9173564417
1913412,adam1991,100,1718861119,12094,Nuclear Fusion,1.94,2.76,2.26,3177.6,0.12,0.26,0.07,24.7,0.32,0.84,7392485396
1913794,xAIx,95,1718861574,8938,Arcadia,0.42,2.88,2.03,2447.76,0,0.23,0.72,0,0,0.87,4248984884
191569,MrFeng,100,1718862204,8836,Vinerri,0.88,1.97,2.1,1937.94,0.03,0.11,0.06,25.41,0.63,0.9,7654792004
1916388,_NiveK_,100,1718878307,36891,FLATLINE,0.83,3.17,2.58,4418.16,0,0.02,0,14.68,0.92,0.93,3306064398
1918071,D-V,100,1718872308,16628,Chain Reaction,0.74,2.3,2,2534.33,0.01,0.02,0.46,0,0.64,0.74,8265941418
1920048,William_Joker,100,1718877920,16312,39th Street Killers X,2.81,2.83,2.83,2367.73,0.02,0.24,0.12,0,0.01,0.9,11844165321
1921241,leaDER,100,1718864143,8938,Arcadia,0.63,22.09,2.63,19193.96,1.33,3.99,0.1,64.56,0.78,0.94,-4210244867128660000
1921540,keego73,100,1718861239,16312,39th Street Killers X,0.49,2.36,2.42,4074.04,0,0.02,3.2,0,0.08,1,7633660228
1921594,Norm,100,1718851511,16628,Chain Reaction,1.58,2.61,2.18,3437.72,0.04,0.02,0.3,9.39,0.13,0.9,10724431546
1925343,EnglandsFinest,100,1718871263,7935,Blue Rock Collective,0.03,0.18,2.04,844.23,0,0.26,1.44,5.42,0,0.92,8925558277
1927408,Aaron,69,1718858198,7935,Blue Rock Collective,0.27,6.66,2.03,4257.71,0.01,0.27,0,62.11,0.88,0.86,434720415
1927463,sharx,100,1718878355,8336,Monarch HQ,3.64,8.67,2.26,13060.04,0.04,0.16,9.66,19.77,0.42,0.99,7976309954
1927703,chamberlane,100,1718878233,21040,Monarch Vanguard,0.32,0.32,2.1,1430.6,0,0.47,4.18,0,0,0.99,1497364659
1928587,vageuly,69,1718870084,1149,WTF,1.06,2.44,2.5,3381.77,0.06,0.23,0.4,0,0.02,0.86,609863014
1933955,John,100,1718861197,9533,Natural Selection,2.06,2.81,2.26,2041.24,0.04,0.04,0,4.33,0.5,0.82,10096817494
1934909,Blasted,99,1718878143,27312,SA  Equilibrium,1.57,3.47,3.04,6254.39,0.11,1.2,0.28,36.51,0.84,0.98,3521278324
1935006,Chronasseur,100,1718872380,9533,Natural Selection,1.74,2.01,2.84,4950.17,0.12,0.04,0,14.79,0.04,0.99,14891988239
1935081,Eidolon,84,1718853416,23952,Midnight Plague,2.77,6.26,2.44,8349.22,0.28,0.47,2.97,0.79,0.78,0.84,1221415615
1935090,SlaineTroyard,100,1718866716,9041,PT-Calculated,1.1,1.24,2.4,1598.72,0,0.01,0,0,0.08,0.77,9404100470
1938327,ExarionThar,100,1718875927,8938,Arcadia,0,5.17,2.52,2241.99,0,0.12,0.26,0,0.84,0.93,6361718791
1939334,JimHalpert,100,1718872822,15929,The Inquisition,1.66,6.57,2,5235.5,0.06,0.06,0.89,25.87,0.57,0.91,2730608788
1939437,Summers,73,1718855147,10913,Unbroken Silence,0.93,6,2.7,3488.72,0,0,0.66,0,0.06,0.87,6945750708
1939900,Jumpingjack9439,100,1718860335,16247,Capacity X,6.51,8.68,2.24,6850.91,2.23,0.38,0.72,5.59,0,0.7,15826192600
1940891,TooheysNew,80,1718872701,8500,Extinction,0,5.64,2.01,1586.77,0,0,0.02,0,0.11,0.78,2221338510
1941490,onesat,100,1718860196,30820,Wolverines Gone Wild,1.31,7.46,2.5,5211.98,0.19,0.1,6.67,14.44,0.34,0.93,4408565167
1941743,mogambo,100,1718871731,7835,Monarch Mutation,3.22,4.23,2.08,3292.5,0,0.13,0,1.33,0.57,0.87,9060099153
1941838,veteranz,77,1718876414,9524,HT-Fenris,5.21,7.96,2.43,7311.36,0.17,0.33,2.21,19.64,0.62,0.94,564034765
1942664,OnuHeino,50,1718870217,7969,WIT-Premier,0.02,1.54,2.28,2714.87,0,0,0.01,0,0.01,0.81,744409955
1943617,Emrade,89,1718843137,26437,The Pagans,1.29,1.29,2.14,1393.14,0,0,0,0,0,0.93,2680340865
1944994,Slay,100,1718877603,11747,Natural Selection II,0.54,1.5,2.11,4120.9,0.1,0.01,6.87,14.89,0.59,0.9,9132937092
1945385,Uncle,100,1718859675,8336,Monarch HQ,0.93,1.53,2.43,7675.5,0.04,3.93,0.01,0,0,0.94,4.7142e+12
1945494,neas18,100,1718868458,16282,Nuclear Winter,0.29,0.36,2.27,1056.59,0,0.01,0,0,0,0.81,4649935265
1945710,Warlord,100,1718862093,27223,Little Stompers,1.58,3.24,2.28,1344.13,0.08,0.06,0.03,7.44,0.23,0.9,4002812772
1945944,donj,74,1718878406,15120,Wolf Pack Next Generation,3.97,6.67,2.06,5542.98,0,0.01,0.5,66.63,0.01,0.67,256432585
194620,Andrew,98,1718877224,18736,Monarch Research,1.14,2.69,2.5,4512.69,0.01,0.04,0.46,0,0.13,1,3585084813
1947542,SteamPunkMonk,50,1718871138,30085,Wargasm HQ,1.2,2.32,2.06,4717.46,0,0.1,0.12,0,0,0.78,185259057
1948203,yeyeboy,75,1718854222,20747,Damage Inc,1.08,1.84,2.09,1008.44,0.06,0.01,0.01,62.5,0.44,0.88,4308752337
1949020,Glibs,90,1718860693,7935,Blue Rock Collective,0.8,3.16,2.03,8229.31,0.42,0.26,0.22,4.54,0.69,0.86,759007124
1949201,real_mister,100,1718858794,10140,In Memory of the Fallen,1.14,3.41,2.56,5885.41,0.18,0.12,0.92,26.34,0.76,0.89,4093783679
1949530,Zeifer,100,1718874324,13842,Brazilian Unit,3.78,3.93,2.63,7844.19,0.07,0.06,0.04,1.11,0.14,0.94,6548582088
1950861,Nerlair,51,1718875810,14686,Endless Endeavor,0.84,1.09,2.14,1530.73,0.01,0,0,0,0.02,0.89,118437020
1951018,Dice,26,1718844837,30009,White Rabbits,0.24,1.27,2.16,1006.76,0,0.08,0.33,2.61,0.02,0.97,584911086
1951339,Albastross,60,1718862091,10610,NPO - Strength,1.02,2.28,2.66,4340.97,0.02,0,0.13,0,0.62,0.83,209391649
1951369,Diking,100,1718856211,40420,Too Sober for this Shit,1.49,2.89,2.49,7264.41,0.37,0.04,9.22,0.23,0.24,0.83,4592266936
1951650,Holy,69,1718861701,6974,Onion Smugglers,2.51,5.5,2.44,3998.88,0.08,0.1,0.16,14.81,0.43,0.92,415040426
1952036,Spyde,67,1718868616,525,Ministry of Mayhem,0.36,1.8,2.26,1089.53,0,0,0,0,0.04,0.83,455449808
1952322,Barbarian,100,1718850446,47760,Ninjas In Rehab,7.3,8.36,2.47,4742.73,0.51,0.12,0.36,0,0.04,0.72,7849115263
1952447,EKO-Cobra,75,1718874695,11747,Natural Selection II,1.12,1.2,2.41,1164.33,0,0.14,0,0,0,0.96,9682480004
1953078,balamuc,94,1718878347,8500,Extinction,0.16,4.99,2.28,8971.16,0.03,0.04,0,25.82,0.69,0.94,2554811351
1953860,RGiskard,100,1718860534,8336,Monarch HQ,5.39,11.32,2.89,10982.7,3.06,1.22,0.64,0.88,0.29,0.98,1.000008e+15
1953965,RipTheJacker,100,1718878272,40959,EPIC Mafia,8.08,11.24,2.81,22607.83,3.64,0.12,2.68,5.17,0.29,1,4900438100
195437,Backdoor_Betty,100,1718876343,16628,Chain Reaction,3.79,5.12,2.88,4645.9,0.01,0.1,1.39,30.27,0.83,0.99,15337921659
1954421,ArttiIsGod,100,1718873770,33458,SA One  Punch,4.08,4.88,2.17,7089.64,0.11,0.03,0.04,18.92,0.49,0.77,8390636700
1955315,Multipass,100,1718874493,9412,BLACK STATUES,1.58,7.47,2.63,6309.98,0.07,0.06,2.71,9.18,0.28,0.89,6361667445
1955964,sevian87,72,1718871023,13737,The War Rig,1.78,4.98,2.43,2235.66,0.14,0.06,0.32,9.89,0.27,0.88,1254017971
195620,Tsume,100,1718868755,7115,Republic Of Futuria,2.33,2.97,2.61,4564.3,0.29,0.09,0.14,45.79,0,0.94,16463659732
1956301,Isabelleatoi,85,1718870569,42125,ODB,0.23,2.06,2.83,1939.24,0.01,0.06,0,0,0.1,0.71,1827946525
