fac1,fac2,fac1_name,fac2_name,wstart,wid,week
49651,50737,Exalibur,Rocky&#039;s Gym,1741464000,23064,2025_10
51430,52933,THE  COUNCIL,Spider-Verse,1741449600,23063,2025_10
50568,52866,Demon corp,GanjaWarriors,1741384800,23062,2025_10
16057,40959,Glory to Heroes,EPIC Mafia,1741291200,23061,2025_10
48274,49640,Maddened Morons,MRC-Medivac Rescue Corps,1741464000,23060,2025_10
50426,51700,The Abyssal horde,Fodder.,1741442400,23059,2025_10
51242,53450,Violent Behavior,KING'S LANDING,1741363200,23058,2025_10
16079,46666,Below the Wake,Fluffy Kittens Inc.,1741302000,23057,2025_10
8205,34623,Howler&#039;s Haven,Viking Emus,1741363200,23056,2025_10
13665,18736,PT-Penguins,Monarch Research,1741294800,23055,2025_10
14441,50440,The Mavericks,The Desert Rats.,1741363200,23054,2025_10
51072,52510,Whit FC,Grim Korp,1741474800,23053,2025_10
37426,49636,Monarch Embassy,New Beginning,1741276800,23052,2025_10
52336,52998,The Wolves of Wall Street,Tree Guild,1741312800,23051,2025_10
52203,53312,The Bruddahood,REBELLION WARBAND,1741276800,23050,2025_10
34247,42872,Veloce,Ares Kratos,1741363200,23049,2025_10
8989,27312,JUX HQ,SA Succession,1741294800,23048,2025_10
40905,49585,The Browncoats,Ghost Vipers,1741471200,23047,2025_10
19060,44445,Fallout,Combat Ready HQ,1741460400,23046,2025_10
10184,50517,Queen Bee,Attack Mode,1741359600,23045,2025_10
52015,52777,Red Rising,FaZe-BloodLust,1741266000,23044,2025_10
50963,52016,Fallen Fists,The Elden Knights,1741388400,23043,2025_10
14432,44762,160th SOAR Night Stalkers,Monarch Retardation,1741284000,23042,2025_10
50559,50844,Honey,Oreo Cheesecake,1741363200,23041,2025_10
46127,48680,Cyber Warfare,BlackWatch,1741302000,23040,2025_10
39781,44092,Zenith Rising,Chaos Theory,1741374000,23039,2025_10
8706,11581,Carbon,Natural Selection III,1741280400,23038,2025_10
52929,53295,TRYHARD,Blackout Division,1741363200,23037,2025_10
50399,52787,TheUnknowns,Hopeless,1741266000,23036,2025_10
9041,12094,PT-Calculated,Nuclear Fusion,1741366800,23035,2025_10
50286,52748,DM_Faction,The Coiled Order,1741298400,23034,2025_10
15256,48650,Defenestration,300,1741370400,23033,2025_10
50230,50274,The Panturas,Forbidden Realm,1741302000,23032,2025_10
16443,44404,Undead Covenant,S.C.A.R. - DELTA GREEN,1741392000,23031,2025_10
11162,49561,InQuest,The Four Twenty H-V-F,1741384800,23030,2025_10
52566,52780,Demonic Outcasts,LeprechaunLiberationFront,1741471200,23029,2025_10
89,937,Catalysis,Sport Club,1741291200,23028,2025_10
8076,18569,Order Through Chaos,Romania Elite Kommando,1741464000,23027,2025_10
41123,48790,IRON FORGE,Soldiers of Darkness,1741366800,23026,2025_10
47042,49666,Risky Business,THE SALT-BORN,1741226400,23025,2025_10
15961,52275,Raven Peaks,The Blood Hoods,1741460400,23024,2025_10
48636,49951,100% RW PAY,Topp Opps,1741392000,23023,2025_10
48077,49017,Champagne Killers,Arcadian Rangers,1741464000,23022,2025_10
50424,52462,Ethereal Blade,"Shadow, synthetic",1741359600,23021,2025_10
9533,41929,Natural Selection,Valor,1741291200,23020,2025_10
10174,11747,AQUA-Poseidon,Natural Selection II,1741366800,23019,2025_10
36134,40775,SMTH - Silver Hand,WarDogs HQ,1741273200,23018,2025_10
8869,37155,Bendetti,Planet-Express,1741446000,23017,2025_10
6557,47445,Stepping Stones,Blade of Vengeance,1741438800,23016,2025_10
