fac1,fac2,fac1_name,fac2_name,wstart,wid,week
10507,35507,Ducks of Quacken,The Nest,1743282000,23836,2025_13
2013,13665,Subversive  Alliance,PT-Penguins,1743109200,23835,2025_13
8336,11581,Monarch HQ,Natural Selection III,1743195600,23834,2025_13
50896,52815,The Boozehounds,Space Sweepers,1743267600,23833,2025_13
49651,53074,Exalibur,Low Vibin&#039;,1743116400,23832,2025_13
19,9412,39th Street Killers,BLACK STATUES,1743267600,23831,2025_13
48636,52015,Grandmasters,Red Rising,1743285600,23830,2025_13
9533,16628,Natural Selection,Chain Reaction,1743181200,23829,2025_13
25001,46442,The Red Knights,The Resolute,1743285600,23828,2025_13
41291,47841,UNDERWORLD ASSASSINS,League of Minions,1743116400,23827,2025_13
53596,53597,Deucalions,Rich Forever Cartel,1743120000,23826,2025_13
15256,49561,Defenestration,The Four Twenty H-V-F,1743084000,23825,2025_13
9524,21665,|HT|,Monarch Army of Light,1743181200,23824,2025_13
11162,47760,InQuest,Ninjas In Rehab,1743112800,23823,2025_13
8151,11747,Chromatic,Natural Selection II,1743195600,23822,2025_13
12094,20747,Nuclear Fusion,Damage Inc,1743105600,23821,2025_13
50601,51803,BEE,Psychos on Vicos,1743195600,23820,2025_13
8384,10818,Savage Plague,Lex Wolverines,1743285600,23819,2025_13
21526,40959,NS Bomb Shelter,EPIC Mafia,1743274800,23818,2025_13
53327,53462,JCL BASE 2,Murder Was The Case,1743091200,23817,2025_13
50750,51072,Axiom,Whit FC,1743289200,23816,2025_13
36421,50440,T-HA 2.0,The Desert Rats.,1743177600,23815,2025_13
49708,53020,The Ravens,Los Blancos Eldorado,1743112800,23814,2025_13
22492,30085,Dystopia,Wargasm HQ,1743264000,23813,2025_13
49609,53506,Steel team,War Co.,1743184800,23812,2025_13
51392,53578,Sailing Through Torn.,Kushindo,1743274800,23811,2025_13
52067,52699,Existence,Wolves of Elven Wilds,1743213600,23810,2025_13
52981,53435,Crime Spree,Ghosts65,1743249600,23809,2025_13
18736,25025,Monarch Research,DP Warriors,1743087600,23808,2025_13
52610,52904,Spectixen Network Army,The Cavemen,1743148800,23807,2025_13
8836,11796,Vinerri,SMTH - Bright Summit,1743084000,23806,2025_13
48822,49695,Diamond Cartel.,The Shogunate Spy,1743141600,23805,2025_13
51141,53547,monark krisalis,TLM: Half Past Murder,1743051600,23804,2025_13
50428,51649,Blade Runners,Dragon Army,1743271200,23803,2025_13
12645,48002,NPO - Endurance,Corrupted Phoenix,1743285600,23802,2025_13
52652,53032,SkilledAssassinsRepublic,Cupins Vevecation,1743206400,23801,2025_13
13842,14821,Brazilian Unit,JFK - Future Killers,1743285600,23800,2025_13
89,8938,Catalysis,Arcadia,1743181200,23799,2025_13
14365,15446,JFK 2.1,Druggies in Snuggies,1743098400,23798,2025_13
6731,8706,The Next Level,Carbon,1743271200,23797,2025_13
16443,20303,Undead Covenant,The Saviors,1743195600,23796,2025_13
9176,30820,The Iron Fist,Wolverines Resurrected,1743278400,23795,2025_13
53354,53535,B BLOCK,Vikings - Valhalla,1743112800,23794,2025_13
52026,53085,Savage Warlords,Clan Myth,1743181200,23793,2025_13
53169,53469,GHOST UNIT,Brilliant Star,1743260400,23792,2025_13
51524,53205,Knights United,Latveria,1743073200,23791,2025_13
15930,49776,HellBound,Port Royal,1743192000,23790,2025_13
49515,51325,Holy Crucible Of Monarch,ShadowWizard Money Gang,1743206400,23789,2025_13
50196,53604,Psych Ward 3,Frosted Sugar Skulls,1743210000,23788,2025_13
16335,27312,SMTH - November Chopin,SA Succession,1743087600,23787,2025_13
41234,45415,Peaky CS,PT-SunnyVale,1743188400,23786,2025_13
48747,50579,Gooderfellas,Trash Bandits,1743105600,23785,2025_13
49666,50150,THE SALT-BORN,Mortal Ruin,1743174000,23784,2025_13
