uid,name,level,la,fid,faction,rankedwarhits,attackswon,xantaken,useractivity,retals,boostersused,energydrinkused,specialammoused,dukecontractscompleted,refills,total
1171741,Adaline,100,1718874459,2095,insurreXtion,1777,19645,8943,14983759,65,509,18183,13930,1001,3162,12580968349
1172344,loonie,100,1718875585,2736,Itsi Bitsi Bikini,597,30474,10960,11933905,159,516,1301,77630,1728,4136,12573158660
1172347,grobut,25,1718876628,21665,Monarch Army of Light,988,4192,1065,3671317,4,38,65,246,153,512,283826318
117259,Ranf,100,1718873867,13665,PT-Penguins,982,12577,6402,8944688,220,1221,1620,49913,866,3833,9071343549
117313,High,100,1718874457,20747,Damage Inc,2004,15663,8334,8944056,564,130,7380,4466,214,3164,10704281222
1174171,Samurache,100,1718878454,18569,Romania Elite Kommando,1023,13540,3299,9448453,121,808,879,21340,1151,4508,7516633356
117506,t0m,100,1718877053,9524,HT-Fenris,1534,10248,3765,7181533,142,635,1074,19600,190,1402,3841107019
1176287,Paul,100,1718858412,3241,JFK,875,27907,5642,26363756,151,699,4749,35379,1509,2524,7241426598
1177731,_O_o_,100,1718870569,9041,PT-Calculated,903,10537,3832,9537975,58,228,1753,19507,2205,2358,5683121449
1178603,MgTheGreat,100,1718866721,10913,Unbroken Silence,1556,40286,6637,26688732,691,580,1774,17998,1094,3139,7770110245
1178989,Stricken,99,1718856387,33458,SA One  Punch,862,15535,4072,11180535,518,913,13337,22152,607,2442,7158537856
1180223,IsMiseAaron,88,1718872282,8537,NNGO,695,5492,1364,3702382,24,96,105,0,190,948,1091093448
1180915,x_IBennnnn,94,1718869607,9036,The Black Pearl,360,3813,6646,4513899,37,83,739,0,127,2897,8339217691
1182764,Kamikaze-Phobe,100,1718862342,8938,Arcadia,582,15201,4375,6238771,90,503,1319,14710,1420,1596,5298217082
1184072,AntiCupid,87,1718874831,9055,Natural Selection IV,786,4318,2472,8685193,6,107,1249,10680,256,1184,2618709607
1184330,Rixer,100,1718877703,9100,The Black Hand,2620,12515,4145,16409461,660,414,2538,64861,1088,1750,4528453178
1186889,mozzy134,78,1718877531,9041,PT-Calculated,988,2723,2468,2293727,66,16,198,3240,186,1195,2402485239
1187574,S-I-S,100,1718875245,16628,Chain Reaction,1472,27637,9161,63692058,257,1411,8652,32051,1655,3310,18130284698
1187876,Lat,100,1718878457,16696,Scum Squad HQ,1632,46584,5346,40503245,759,1688,4079,33636,590,2135,1.314e+11
1190773,Art,26,1718877445,10820,Lithium,86,4555,775,2825970,2,337,250,3051,239,382,1545470193
1191149,Rosarium,80,1718877056,10818,Lex Wolverines,883,10890,1209,10781086,559,133,1046,17862,755,1571,3553191257
1192157,kuasa,100,1718875698,8336,Monarch HQ,1789,17538,12113,52122951,141,139,3290,9562,1679,4422,15073418608
1195734,RoLin100,88,1718857846,8085,Nuclear Blast,616,7835,1735,7914159,37,60,162,3076,468,714,1494530573
1197027,Wilkyvvay,49,1718875609,15929,The Inquisition,505,3693,1310,5125419,7,15,35,1182,49,494,507239401
1197995,Chesna,100,1718872104,15222,Dark Arts,6048,21371,8536,25249948,797,1120,2734,12366,909,3862,14312615754
1199477,Ragnfrior,99,1718875071,6799,The Untouchables,53,10989,3964,12307491,44,13,508,14963,1044,2655,5303774705
1199649,StreetRuler,100,1718859561,7709,Vulpes Vulpes,721,14465,9078,16354284,217,504,450,44829,1365,3181,10949305916
1200106,moezmay,62,1718877762,21665,Monarch Army of Light,600,1207,988,3613583,5,7,87,0,53,450,810413909
1201431,Eli,99,1718877421,35507,The Nest,256,10626,2225,10454679,17,714,828,9022,875,1092,2609101600
1204341,DA-FRAZA,40,1718870223,8468,Bloodbath and Beyond,73,1277,341,1361670,0,81,24,940,145,424,57087451
1205033,aps,100,1718873752,7835,Monarch Mutation,1313,22618,4991,15357492,130,76,2133,1509,528,2718,5434454043
1207116,2000,97,1718865329,41929,Valor,934,6072,3729,5205812,15,15,48,299,533,1209,3743921485
1207262,Embra,100,1718875658,2736,Itsi Bitsi Bikini,661,9672,5924,8056534,53,316,652,1020,504,2491,7665695747
1207312,-AKA-Spark,99,1718868479,9041,PT-Calculated,1693,8998,2662,4681226,247,450,942,6673,430,940,2637388026
1211375,TerraZone,100,1718878366,8706,Carbon,461,15007,3802,9373735,68,369,2377,21463,1859,2345,5566606075
121433,Pidu,100,1718867507,13665,PT-Penguins,295,17540,8585,9670911,181,624,542,576,1266,4718,11711460366
1220645,Smiffy,100,1718876033,27223,Little Stompers,3815,40782,7897,22681656,2178,1608,8307,81348,1116,3125,10099041193
122870,Tonk,100,1718860843,231,Destructive Anomaly,1268,31851,9029,36870832,180,1030,2642,33714,1293,4832,13024129421
123036,Umol,91,1718864637,11581,Natural Selection III,232,4384,3956,2542489,115,1120,147,0,129,1100,4085496562
1232819,badger1965,86,1718875372,10174,AQUA-Poseidon,1614,13351,9716,10725120,15,391,182,0,7,3149,11115580627
123649,Dabzilla,37,1718864845,28349,Dexter&#039;s Laboratory,249,2084,394,877891,0,79,127,260,182,455,87558057
123708,Genocide,92,1718870141,9533,Natural Selection,930,4857,3287,9328724,36,216,2931,1200,195,1517,10718770683
1243700,Morrissey,54,1718876488,37786,Halos Momentum,720,1788,649,1761919,19,228,140,1553,102,602,73162228
12469,Tygra,100,1718857925,16628,Chain Reaction,254,11014,8862,3948702,6,191,860,4234,423,3407,12316384792
1251698,Magnum,100,1718855725,16312,39th Street Killers X,146,17544,5784,15182525,218,98,1234,14634,1211,2560,7449913510
1258534,Sam-Phenom,30,1718870739,89,Catalysis,2350,5870,1740,4787845,35,33,179,0,171,558,896742958
126091,sCrEwBuRgEr,64,1718875934,9728,Victores Cruenti,815,3060,1084,4036214,5,80,96,425,89,362,541732392
1261819,g_ho,100,1718873083,9533,Natural Selection,1220,23361,8525,22714297,136,930,5808,49938,353,4001,17024811398
1263853,danielfritzzz,100,1718875937,8706,Carbon,865,14674,8506,14472564,231,358,608,24936,1922,3890,11293935567
1264195,jon0,78,1718878065,15655,Ravage,166,3161,1395,4866820,2,95,197,12902,477,614,1318776572
