faction,name,fname,members,rank
35507,MTC,The Nest,79,Gold
35507,QTC,The Nest,79,Gold
35507,RTC,The Nest,79,Gold
35507,STC,The Nest,79,Gold
35507,TPG,The Nest,79,Gold
35507,VPF,The Nest,79,Gold
35507,VPG,The Nest,79,Gold
35507,XTC,The Nest,79,Gold
35507,YTC,The Nest,79,Gold
35507,ZTC,The Nest,79,Gold
35739,AWB,Kingsmen,61,Gold
35739,PWB,Kingsmen,61,Gold
35739,QWB,Kingsmen,61,Gold
35739,RWB,Kingsmen,61,Gold
35739,TWB,Kingsmen,61,Gold
35739,UQF,Kingsmen,61,Gold
35739,UWB,Kingsmen,61,Gold
35739,VWB,Kingsmen,61,Gold
35739,WWB,Kingsmen,61,Gold
35739,YWB,Kingsmen,61,Gold
35739,ZWB,Kingsmen,61,Gold
35776,AYF,IA Black,50,Platinum
35776,DAC,IA Black,50,Platinum
35776,GZC,IA Black,50,Platinum
35776,HZC,IA Black,50,Platinum
35776,IAC,IA Black,50,Platinum
35776,JZC,IA Black,50,Platinum
35776,KZC,IA Black,50,Platinum
35776,LZC,IA Black,50,Platinum
35776,OYF,IA Black,50,Platinum
35776,RXC,IA Black,50,Platinum
35776,TZC,IA Black,50,Platinum
35776,VLE,IA Black,50,Platinum
35776,VXC,IA Black,50,Platinum
35776,WLE,IA Black,50,Platinum
35776,XLE,IA Black,50,Platinum
35776,XOF,IA Black,50,Platinum
35776,ZZC,IA Black,50,Platinum
35840,ASE,Baby Champers,97,Gold
35840,BYF,Baby Champers,97,Gold
35840,CSE,Baby Champers,97,Gold
35840,CYF,Baby Champers,97,Gold
35840,DVF,Baby Champers,97,Gold
35840,FVF,Baby Champers,97,Gold
35840,IZC,Baby Champers,97,Gold
35840,JWC,Baby Champers,97,Gold
35840,PME,Baby Champers,97,Gold
35840,QME,Baby Champers,97,Gold
35840,RAC,Baby Champers,97,Gold
35840,VYC,Baby Champers,97,Gold
35840,ZSE,Baby Champers,97,Gold
36134,BLB,SMTH - Silver Hand,93,Platinum
36134,BRB,SMTH - Silver Hand,93,Platinum
36134,DLB,SMTH - Silver Hand,93,Platinum
36134,FPG,SMTH - Silver Hand,93,Platinum
36134,ILB,SMTH - Silver Hand,93,Platinum
36134,PRB,SMTH - Silver Hand,93,Platinum
36134,SLF,SMTH - Silver Hand,93,Platinum
36134,TLF,SMTH - Silver Hand,93,Platinum
36134,ULF,SMTH - Silver Hand,93,Platinum
36134,VLF,SMTH - Silver Hand,93,Platinum
36134,WLF,SMTH - Silver Hand,93,Platinum
36134,ZRB,SMTH - Silver Hand,93,Platinum
36274,AND,Violent Resolution II,98,Platinum
36274,BLC,Violent Resolution II,98,Platinum
36274,CLC,Violent Resolution II,98,Platinum
36274,CMC,Violent Resolution II,98,Platinum
36274,LLC,Violent Resolution II,98,Platinum
36274,OJC,Violent Resolution II,98,Platinum
36274,PJC,Violent Resolution II,98,Platinum
36274,TLC,Violent Resolution II,98,Platinum
36274,VMC,Violent Resolution II,98,Platinum
36274,WMC,Violent Resolution II,98,Platinum
36274,ZJC,Violent Resolution II,98,Platinum
36457,ADG,Warband of the Fallen,48,Gold
36457,BDG,Warband of the Fallen,48,Gold
36457,BUE,Warband of the Fallen,48,Gold
36457,CUE,Warband of the Fallen,48,Gold
36457,FJC,Warband of the Fallen,48,Gold
36457,MXF,Warband of the Fallen,48,Gold
36457,WJC,Warband of the Fallen,48,Gold
