fac1,fac2,fac1_name,fac2_name,wstart,wid,week
48058,49095,Banty Shack,Misfit Mafia,1740164400,22463,2025_8
51523,52748,Torn Bootcamp,The Coiled Order,1740088800,22462,2025_8
50318,52671,Notorious Warriors,United Legion,1740265200,22461,2025_8
48927,50516,Seven Deadly Sins - Wrath,Blackjack and Hookers,1740157200,22460,2025_8
12721,49666,Dominion of Crime,THE SALT-BORN,1740070800,22459,2025_8
51145,51282,Legion of Harbingers,Our Gang,1740164400,22458,2025_8
51316,51447,Pixel Ninjas,2nd Chance,1740074400,22457,2025_8
9405,37803,Voidbringers,PT-PimpTuga,1740146400,22456,2025_8
38097,41291,Kentucky Fried Criminals,UNDERWORLD ASSASSINS,1740092400,22455,2025_8
50208,50245,PR - Pontifical Guard,Familia Delinquentium,1740258000,22454,2025_8
8989,10739,JUX HQ,The Next Level - Forge,1740164400,22453,2025_8
50642,52357,The Milkers,Mystic Marauders,1740067200,22452,2025_8
1117,44762,Ascension,Monarch Retardation,1740178800,22451,2025_8
50573,52940,ECLIPSE VANGUARD,NINJA&#039;S BATTLE CLAN,1740214800,22450,2025_8
53054,53331,NewBorns,PUTA,1740243600,22449,2025_8
50680,52409,The Shack,Sanrio Sluts,1740092400,22448,2025_8
49872,52854,DEFENDERS OF TRUTH,Ricklantis,1740258000,22447,2025_8
40921,42263,Undead Army,Happy Vegemites,1740261600,22446,2025_8
18736,22781,Monarch Research,The Wolverines,1740157200,22445,2025_8
11898,45421,Harms Way,Ricefields of Neverland,1740013200,22444,2025_8
9357,41853,AQUA-Neptune,Blood Money,1740261600,22443,2025_8
47841,48680,League of Minions,BlackWatch,1740258000,22442,2025_8
50065,51649,Crimson Dawn,Dragon Army,1740258000,22441,2025_8
10818,21040,Lex Wolverines,Monarch Vanguard,1740254400,22440,2025_8
41777,48087,The Swarm,Endless Euphoria,1740254400,22439,2025_8
5431,46666,[Redacted],Fluffy Kittens Inc.,1740175200,22438,2025_8
52981,53186,Crime Spree,Light rangers,1740070800,22437,2025_8
51179,51387,Phoenix Federation,Control,1740171600,22436,2025_8
44092,47314,Chaos Theory,The Cut,1740085200,22435,2025_8
41620,49319,Wargasm Revival Medicare,SCHIZOPHRENIACS,1740258000,22434,2025_8
525,8400,Ministry of Mayhem,Lingering Insanity,1740240000,22433,2025_8
10851,48636,Bullysian,Jokerz Wild,1740096000,22432,2025_8
51307,52764,The Street Rats,Arctic Vanguard INC,1740067200,22431,2025_8
51498,51601,GrindTime,Phoenix uprising,1740160800,22430,2025_8
9047,36660,DarkHearts,Premature Attackulation,1740081600,22429,2025_8
48563,53109,Morty&#039;s Mindblowers,Cali Cartel,1740254400,22428,2025_8
53160,53163,BJSFTW,Orion UK,1740175200,22427,2025_8
7282,8205,Luscious Dreams,Howler&#039;s Haven,1740265200,22426,2025_8
7115,13737,Republic Of Futuria,The War Rig,1740078000,22425,2025_8
23193,23952,Materia,Midnight Plague,1740258000,22424,2025_8
19060,48633,Fallout,Tokyo Syndicate,1740168000,22423,2025_8
40795,48140,Sons Of Torn,The Revenant Reserve,1740261600,22422,2025_8
1149,9412,WTF,BLACK STATUES,1740088800,22421,2025_8
50695,51586,Neon Nexus,Carnival of Carnage,1740265200,22420,2025_8
48077,50699,Champagne Killers,Star-Light-Warriors,1740157200,22419,2025_8
41218,51559,Forgotten Realm,ALBA,1740060000,22418,2025_8
52093,53236,3ternal Nightmare,Small Warring Faction,1740250800,22417,2025_8
40380,46127,Seshlehem,Cyber Warfare,1740175200,22416,2025_8
48180,50706,Talented,REBELLION,1740067200,22415,2025_8
47614,48252,Shadow Inc,HABIBI CENTRAL,1740139200,22414,2025_8
937,41929,Sport Club,Valor,1740081600,22413,2025_8
13525,49384,Wargasm 2.0,Organised Chaos,1740243600,22412,2025_8
9370,44445,Cipher,Combat Ready HQ,1740168000,22411,2025_8
50754,52728,Th3 Illuminati,Night City,1740081600,22410,2025_8
47760,50613,Ninjas In Rehab,BRC   Supreme,1740150000,22409,2025_8
8510,10610,Ara Pacis,NPO - Strength,1740081600,22408,2025_8
40385,49646,Death Before Dishonor,Immortal Warriors,1740236400,22407,2025_8
