uid,name,level,la,fid,faction,rankedwarhits,attackswon,xantaken,useractivity,retals,boostersused,energydrinkused,specialammoused,dukecontractscompleted,refills,Stats,total
2603854,Confused2737,69,1718878373,8400,Lingering Insanity,149,4856,698,3458712,1,55,1,10000,257,172,0,132666690
2603921,Subetai,92,1718877363,36134,SMTH - Silver Hand,2627,7821,3511,7988594,16,77,347,330,1065,1128,0,3007580087
2603946,SixPercent,20,1718874411,40774,Pennywise Clown Posse,36,1583,10,671331,0,0,15,0,196,0,0,932211
2604024,Thermal,35,1718864783,16040,Winter is Coming,30,3048,541,1916129,0,6,0,0,48,115,0,27549933
2604114,chickandduck,71,1718868572,22680,39th Street Chillers,104,4413,1498,3563859,0,63,153,16198,351,410,0,491470885
2604235,galah,81,1718864904,35507,The Nest,199,5138,3281,8625218,13,279,360,0,174,1033,0,3177397381
2604247,Faisal106,75,1718849585,22680,39th Street Chillers,38,5104,540,3142261,0,79,90,10600,1004,311,0,122491891
2604284,Kamai,89,1718853686,9041,PT-Calculated,776,7771,2505,2976951,22,159,474,0,98,859,0,1741827059
2604322,Mummo,99,1718873430,16312,39th Street Killers X,785,9609,3322,10704043,77,256,4822,12639,692,1162,0,3427481083
2604528,Ksenon,99,1718876733,7709,Vulpes Vulpes,652,7879,3368,10511089,87,66,909,10433,847,1120,0,3006318096
2604653,XxKaixX,55,1718877224,44758,NPO - Prosperity,275,2422,938,1019954,7,50,3,660,321,265,0,17852202
2604695,H4rdCoR3,89,1718845262,20747,Damage Inc,334,7732,2447,9414446,7,19,757,25781,406,1062,0,2428592155
2604787,Abo_Curassow,53,1718855686,35507,The Nest,2,2098,1713,1286821,1,231,8,250,105,766,0,1176205027
2604992,UnknownRand,90,1718875760,35507,The Nest,546,5618,2563,3309232,273,666,2016,22737,582,934,0,2359670283
2605067,Novski-,30,1718846528,25025,DP Warriors,33,566,100,735104,0,28,1,0,4,43,0,332049
2605129,DaigleTheBagel,100,1718872777,21368,Escensio Incursus,1168,13660,3207,14294230,283,596,4122,39970,1237,1186,0,3277870606
2605131,Cayde-6,85,1718854599,21368,Escensio Incursus,746,9505,2406,4823674,30,223,466,19130,660,693,0,1420677237
