uid,name,level,la,fid,faction,rankedwarhits,attackswon,xantaken,useractivity,retals,boostersused,energydrinkused,specialammoused,dukecontractscompleted,refills,total
1044213,Imrahil,100,1718877267,8336,Monarch HQ,271,331,238,154946,0,8,0,155,0,87,14599202480
1045377,schilz,96,1718871158,38847,Vigilantes,172,410,184,116931,1,4,0,0,0,69,4729642991
104708,Tarren,35,1718873776,8510,Ara Pacis,165,949,239,700427,21,21,27,3760,68,88,10041715820
1047724,TheDonIsBack,80,1718869572,10877,House of Dragonborn,180,263,188,158225,6,6,2,0,4,78,1486827162
1049343,Pelymeny,92,1718878431,20514,Monarch X,188,677,213,1441824,32,14,768,0,69,84,1892391598
105214,Exploded,84,1718858826,16040,Winter is Coming,133,398,196,436801,4,0,594,1376,42,82,2658538312
1052320,Darren,100,1718869808,12893,Darkside,30,110,223,139024,7,5,333,0,8,81,7335046540
105937,Nexus,100,1718877584,8706,Carbon,294,309,185,526685,1,4,27,0,4,74,6762552681
1060649,j0zeph,96,1718872667,8836,Vinerri,32,45,211,264312,0,0,0,0,9,86,7034618810
1063481,pablopol,99,1718851994,22492,Dystopia,38,168,192,193578,2,15,96,2005,17,75,3111827648
1066131,Copper,100,1718877044,13842,Brazilian Unit,560,589,238,610303,25,3,38,0,7,88,6018464488
1066552,DwightSchrute,100,1718847628,40334,Euphoria,761,1173,194,937691,67,59,68,111,7,79,4737902258
107444,Westend,100,1718878316,9533,Natural Selection,195,395,267,1783932,13,126,39,3549,91,90,4.194e+11
1075060,BiuBiu,95,1718878133,18736,Monarch Research,102,246,260,1116396,0,0,142,367,82,88,3552284751
1075643,Gun_Ru,100,1718876414,230,PT-Family,192,395,235,644182,4,12,945,4278,69,86,10862793578
1078182,GrimNuker,100,1718873616,16312,39th Street Killers X,106,536,230,466024,0,235,99,3498,71,87,5283800550
1080773,Entrepreneur,86,1718853652,230,PT-Family,127,190,229,453355,6,3,93,2277,67,72,7526715017
1081517,ShadowZone,100,1718877043,12094,Nuclear Fusion,432,690,217,465073,75,340,20,3258,2,72,2.6478e+12
1085096,DeadLine,92,1718848598,9036,The Black Pearl,54,148,183,152746,4,30,72,0,0,86,6032224937
108760,ArcadeGaming,100,1718873884,12094,Nuclear Fusion,97,113,223,121141,2,34,0,527,0,72,4701587348
1088323,MIKELEE30,100,1718870949,230,PT-Family,317,416,201,554146,7,1,19,0,9,65,13094121430
108862,YEAR_ZERO,100,1718875100,40518,Monarch Oscuridad,1356,1441,242,692421,60,25,38,2226,7,85,15611995773
108922,HT-Supermikk,100,1718878156,9524,HT-Fenris,769,1200,244,1492613,105,76,22,2015,90,89,5.78718e+13
1090192,Luciano,100,1718866477,16312,39th Street Killers X,82,116,183,342657,0,0,54,0,0,67,6510412317
1090374,marric,100,1718877460,13784,WarBirds,17,19,242,373002,0,1,0,0,0,90,7656352224
1095910,cuculet,100,1718876683,18569,Romania Elite Kommando,169,244,199,358542,13,14,8,0,36,58,2530362582
1097729,-swing-,60,1718873518,8954,Nuclear Armageddon,271,275,194,262017,2,0,10,390,0,62,2822664703
1101362,rokiciano,100,1718875776,9036,The Black Pearl,320,645,194,220953,4,13,1,6347,81,80,7569256951
1105319,_TMI_,100,1718849849,230,PT-Family,231,407,227,700129,9,5,944,3140,75,81,7680924093
1105675,Kevin91,100,1718878063,27370,Desert Eagle,177,374,205,133133,1,10,1,78,0,87,4233009649
1109453,kittywarrior,100,1718858305,1149,WTF,285,400,212,367395,0,5,371,0,25,78,7558213561
111337,PrivateSnowball,100,1718876242,89,Catalysis,599,829,285,834455,104,61,362,5327,40,83,7062161904
1117443,Toons,94,1718848875,20747,Damage Inc,146,355,181,358718,3,4,23,6028,53,80,6707264565
1118257,Metallistar,100,1718874409,8706,Carbon,275,294,201,335521,41,46,140,3535,3,68,8879261171
1118743,Fingerling,50,1718876337,20514,Monarch X,480,1021,234,2400211,5,23,479,4310,91,73,164119174
1127284,xDakota,100,1718860841,8510,Ara Pacis,173,724,208,451569,28,2,7,2306,72,79,2439412314
1127528,Fanatic,100,1718872203,8706,Carbon,216,235,258,187068,8,1,1053,0,0,88,11800413113
1130241,DonnieBrasco,100,1718868116,89,Catalysis,180,427,199,844051,5,23,132,6507,50,77,8930526311
1132337,LumbricuS,100,1718877528,230,PT-Family,165,305,227,470237,3,9,108,383,78,82,9301735721
1132772,byrod,100,1718871845,7709,Vulpes Vulpes,247,316,207,1032340,14,10,168,1750,31,68,6128214462
1132977,stax,93,1718877565,20747,Damage Inc,168,364,213,354358,2,5,4,821,82,85,1673558202
1133596,AlexanderWoolf,100,1718878224,11428,Swiss Squad,149,160,207,164270,1,19,4,5149,7,90,9037109567
1135046,Colonel,100,1718842051,9041,PT-Calculated,223,385,182,264179,5,17,130,6221,50,67,6146552907
1137061,Rohnn,95,1718871950,9524,HT-Fenris,223,393,201,386573,14,11,7,1010,14,77,6811160602
1138376,Rafster,100,1718851599,15120,Wolf Pack Next Generation,5,288,218,119341,3,6,4,70,0,87,8319355181
1143611,Archmagex,100,1718878394,7835,Monarch Mutation,373,524,250,1568484,8,8,13,789,74,89,10770981483
1145056,Suomipoika,100,1718872386,8836,Vinerri,175,879,222,819560,0,69,811,8174,78,90,9200554796
1147611,HT-Tittentei,100,1718877939,9524,HT-Fenris,591,651,227,326112,58,46,99,4853,31,81,15485695419
1148150,natty1066,100,1718876555,8336,Monarch HQ,124,247,217,146158,6,11,79,394,47,81,14053178732
1152399,5omeone,91,1718877813,19,39th Street Killers,365,576,234,601227,2,1,15,168,79,82,1884383893
