fac1,fac2,fac1_name,fac2_name,wstart,wid,week
8336,9533,Monarch HQ,Natural Selection,1739466000,22287,2025_7
230,231,PT-Family,Destructive Anomaly,1739566800,22286,2025_7
7709,16312,Vulpes Vulpes,39th Street Killers X,1739649600,22285,2025_7
52315,52917,Th3 Illuminati 3.0,The Shadow Kingdom,1739653200,22284,2025_7
11898,39781,Harms Way,Zenith Rising,1739649600,22283,2025_7
52657,53126,Armed Response Unit 1,THE GRITS,1739487600,22282,2025_7
8317,21665,Naughty Souls,Monarch Army of Light,1739552400,22281,2025_7
51454,52451,Sarrrrrrrrrrrrrrrrrrrrrrr,Vanguards Combine,1739628000,22280,2025_7
51382,52588,jolly fellows,White Blood Cells,1739419200,22279,2025_7
46144,49072,SKS MUTATED,Not a Cache Farm,1739559600,22278,2025_7
50510,51141,Ca$hmere Talon$,monark krisalis,1739412000,22277,2025_7
17055,47635,Natural Born Killers,Get Rich or Die Tryin,1739574000,22276,2025_7
50150,51679,Mortal Ruin,Stiff knights: re-erected,1739404800,22275,2025_7
51697,52984,Nine Hells of Baator,Blood Coven,1739660400,22274,2025_7
47859,48058,Ghost Riders,Banty Shack,1739552400,22273,2025_7
50350,50783,Mayans,Army of Terror HQ,1739473200,22272,2025_7
8706,8802,Carbon,Luscious Incarnation,1739635200,22271,2025_7
51059,51524,Lethal Interjection Crew,Knights United,1739631600,22270,2025_7
48743,50964,Eternal War,The Brothers In Arms,1739646000,22269,2025_7
42911,49903,The Black Box,Cheesecake Factory,1739574000,22268,2025_7
50447,53327,Bartertown,JCL BASE 2,1739476800,22267,2025_7
6557,49836,Stepping Stones,Maniacbros,1739491200,22266,2025_7
37595,47760,Firequackers,Ninjas In Rehab,1739458800,22265,2025_7
21040,26312,Monarch Vanguard,JFK - Misfits,1739556000,22264,2025_7
31292,50888,Torn City Nursery,Owain&#039;s Rebels,1739649600,22263,2025_7
49507,52431,Atomic Warfare,HF-Bloodline,1739469600,22262,2025_7
9528,24218,Fallen X,War INC,1739649600,22261,2025_7
10184,48206,The Dreamers,ADHD Team,1739620800,22260,2025_7
19,9041,39th Street Killers,PT-Calculated,1739552400,22259,2025_7
48480,53248,Moon Lust,The Convergence,1739638800,22258,2025_7
51671,53318,The Imperial Empire,ABG,1739440800,22257,2025_7
50147,50229,-SATUDARAH-,The Golden Circle,1739552400,22256,2025_7
50951,52355,The Gambino Family,Thot.pockets,1739480400,22255,2025_7
50241,52129,Bucket o' Blood,Kush Hempire,1739584800,22254,2025_7
50559,51238,Honey,The Fat Elephant,1739545200,22253,2025_7
51200,53207,The Bottomless Pit,LLLL,1739462400,22252,2025_7
49515,50643,Holy Crucible Of Monarch,Caramel Chocolate Winter,1739541600,22251,2025_7
10098,51025,Moo Farms,Mickey Mouse Playhouse,1739649600,22250,2025_7
6731,11581,The Next Level,Natural Selection III,1739455200,22249,2025_7
49070,49718,Fire of Zephyr,Torn City Kings,1739577600,22248,2025_7
42055,48640,Dead Fragment,Phoenix Ascent,1739646000,22247,2025_7
5431,38847,[Redacted],Vigilantes,1739570400,22246,2025_7
50750,51839,Axiom,Veritas Legion,1739473200,22245,2025_7
51291,53020,Forge INC,Los Blancos Eldorado,1739638800,22244,2025_7
11428,14365,Swiss Squad,JFK 2.1,1739559600,22243,2025_7
48252,48718,HABIBI CENTRAL,Peaky CS II,1739451600,22242,2025_7
14821,18736,JFK - Future Killers,Monarch Research,1739552400,22241,2025_7
52455,53284,West Coast Defenders,CottonTail Crew,1739404800,22240,2025_7
49927,50334,Viking Family,Noble Vanguard,1739541600,22239,2025_7
43752,48984,Tweakers in Sneakers,Mickey Mouse Clubhouse I,1739656800,22238,2025_7
52828,52834,Ethereal Chaos,Mullet Mafia,1739646000,22237,2025_7
37132,47710,Morte Subita,PT-GuemLand,1739480400,22236,2025_7
52916,53313,Brothers faction,*$KiNG-PiN$*,1739642400,22235,2025_7
48097,50230,Braveheart,The Panturas,1739538000,22234,2025_7
45635,50331,Ascended Punks,World Eating Flower Child,1739656800,22233,2025_7
47614,48636,Shadow Inc,Jokerz Wild,1739476800,22232,2025_7
49685,51218,Democratic strike,Magus Optimum,1739541600,22231,2025_7
37537,38319,Luscious Nightmares,Unity Of Bagan,1739455200,22230,2025_7
52793,52867,Slaughterhouse HQ,Darwin&#039;s Theory,1739556000,22229,2025_7
36467,51516,Shadow Wizard Money Farm,Vault 99,1739473200,22228,2025_7
42961,48650,The Rebel Army,300,1739559600,22227,2025_7
9356,23952,SMTH - Party Animals,Midnight Plague,1739455200,22226,2025_7
8384,15929,Savage Plague,The Inquisition,1739541600,22225,2025_7
52866,52878,GanjaWarriors,The MeD-EviL Family,1739484000,22224,2025_7
11782,18963,Midnight Judgement,Search &amp; Destroy,1739574000,22223,2025_7
15256,50440,Defenestration,The Desert Rats.,1739451600,22222,2025_7
9036,20514,The Black Pearl,DropBears,1739556000,22221,2025_7
49955,51719,WGAW,Lycans,1739473200,22220,2025_7
46022,49319,Chrondawgs,SCHIZOPHRENIACS,1739563200,22219,2025_7
42741,48684,Black  Lotus  Society,Torn Community Garden,1739642400,22218,2025_7
51700,52872,Fodder.,Project Paradise 2.0,1739631600,22217,2025_7
50680,51708,The Shack,Tribunal Global Network,1739458800,22216,2025_7
13343,35140,The Defiant,Vault 76,1739563200,22215,2025_7
34623,41066,Viking Emus,Mickey Mouse Reaperhouse,1739653200,22214,2025_7
52652,53109,RAVISPA,Cali Cartel,1739476800,22213,2025_7
11162,45415,InQuest,PT-SunnyVale,1739631600,22212,2025_7
8677,44762,Mana,Monarch Retardation,1739559600,22211,2025_7
49170,49437,Overgeared,The Bulwark,1739628000,22210,2025_7
49196,52711,Cronies,Murder squad,1739476800,22209,2025_7
14441,51794,The Mavericks,Great Tomb of Nazarick,1739566800,22208,2025_7
25288,52155,The Horizon Initiative,Ascending,1739606400,22207,2025_7
44092,51803,Chaos Theory,Deez Nuts Cachew Farm,1739484000,22206,2025_7
50257,51491,Equilibrium,The Darkness,1739660400,22205,2025_7
40673,51011,Dudes I&#039;d Like to Fight,The Crazy Horses,1739502000,22204,2025_7
37155,41342,Planet-Express,Freedom Factory: War Boys,1739642400,22203,2025_7
50884,52093,The White Wolves,3ternal Nightmare,1739642400,22202,2025_7
8085,27223,Nuclear Blast,Stompers,1739458800,22201,2025_7
1117,7282,Ascension,Luscious Dreams,1739574000,22200,2025_7
49872,51624,DEFENDERS OF TRUTH,Bamboo Union,1739476800,22199,2025_7
50433,52542,Golden Dawn Mafia,House Of War,1739570400,22198,2025_7
49646,50699,Immortal Warriors,Star-Light-Warriors,1739476800,22197,2025_7
34247,48965,Veloce,Brotherhood of Butchers,1739541600,22196,2025_7
43889,52510,Knockout - Weight Room,Grim Korp,1739487600,22195,2025_7
38634,51926,Takut Bini Army of Light,Inglorious Basterds,1739491200,22194,2025_7
7093,9370,Halos,Cipher,1739458800,22193,2025_7
50426,52067,The Abyssal horde,Existence,1739628000,22192,2025_7
50286,50604,DM_Faction,Gurkha Revolutionary Army,1739545200,22191,2025_7
49651,50538,Exalibur,CAPO - LEX TALIONIS,1739649600,22190,2025_7
50104,50579,"The Big, Smol &amp; The Swole",Trash Bandits,1739484000,22189,2025_7
30584,43836,Disorderly Conduct,LaFamilia,1739649600,22188,2025_7
8255,40518,Requiem,Monarch Optimus,1739646000,22187,2025_7
49561,50315,The Four Twenty H-V-F,Bloodlust,1739649600,22186,2025_7
48769,52015,The Coalition,Red Rising,1739646000,22185,2025_7
51387,51586,Control,Carnival of Carnage,1739502000,22184,2025_7
52817,53308,SAVAGE-MEDIC,Legion Of Elysium,1739473200,22183,2025_7
14820,16443,Unbroken Legion,Undead Covenant,1739577600,22182,2025_7
52998,53011,Tree Guild,T&#039;C OUTKAST BASE 1,1739530800,22181,2025_7
3241,11796,JFK,SMTH - Bright Summit,1739455200,22180,2025_7
48989,50494,Brutal Truth,The Frogs,1739559600,22179,2025_7
52285,53186,Trouble,Light rangers,1739462400,22178,2025_7
52775,53312,Torn Metropolitan City,REBELLION WARBAND,1739552400,22177,2025_7
50700,52857,T.H.C,Marisalings,1739480400,22176,2025_7
9100,41929,The Black Hand,Valor,1739635200,22175,2025_7
52787,52815,Hopeless,Space Sweepers,1739606400,22174,2025_7
50478,51754,TEAM SESH,Outlaw&#039;s HQ,1739570400,22173,2025_7
50553,52228,The-Empire,The Flying Dutchman,1739624400,22172,2025_7
50706,52777,REBELLION,High By Choice!,1739466000,22171,2025_7
52016,53216,The Elden Knights,Shadow Development Group,1739574000,22170,2025_7
9953,41225,The Drunk Tank,PT-erodactyls,1739642400,22169,2025_7
50482,52827,Orphan Grinder,The Krystal Empire,1739415600,22168,2025_7
51669,52324,Fenrirs wolves,MostWanted,1739530800,22167,2025_7
49122,50418,Balls of Steel MC,The UnderDogz,1739404800,22166,2025_7
53155,53331,TCC,PUTA,1739574000,22165,2025_7
52023,52788,EBK-EVERY BODY KILLERS,MATRIX UNDERGROUND,1739473200,22164,2025_7
9405,44746,Voidbringers,Chromatic Sloths,1739559600,22163,2025_7
9201,37426,Destination Unknown,Monarch Embassy,1739635200,22162,2025_7
48927,51433,Seven Deadly Sins - Wrath,Downtown Syndicate,1739462400,22161,2025_7
50986,52662,Maelstrom Syndicate,The Carmine Coven,1739563200,22160,2025_7
44811,50490,Order of Diverse Events,Heathen Saints,1739642400,22159,2025_7
53100,53223,Menacing Monkeys,Red Ordinance,1739660400,22158,2025_7
8867,16628,Monarch Chrysalis,Chain Reaction,1739484000,22157,2025_7
50516,51915,Blackjack and Hookers,Faster Than Light,1739635200,22156,2025_7
39580,49695,Raccoon Rumpus,The Shogunate Spy,1739556000,22155,2025_7
50743,51420,Noble Chocolate Winter,Mission impossible,1739646000,22154,2025_7
50625,51997,Creature,Blue Flag Militia,1739653200,22153,2025_7
50467,50785,D0p3 Kr3w,The Revenant Respawn,1739404800,22152,2025_7
23193,41702,Materia,Rogue Warriors,1739570400,22151,2025_7
44594,48680,The WarSluts,BlackWatch,1739480400,22150,2025_7
52363,53032,T.R.A.C.E.Y,Cupins Vevecation,1739653200,22149,2025_7
49710,53231,HellSpawn,The Citadel (recruiting),1739649600,22148,2025_7
49017,52764,Arcadian Rangers,Arctic Vanguard INC,1739548800,22147,2025_7
16053,37786,Asylum 2.0,Halos Momentum,1739476800,22146,2025_7
8076,36134,Order Through Chaos,SMTH - Silver Hand,1739635200,22145,2025_7
49707,52284,T&#039;c outkasts HQ,Defenders Of Torn Unite,1739552400,22144,2025_7
49430,49450,PARA5ITE5,The Couch Potatoes,1739466000,22143,2025_7
49297,50517,Shaggy Hi-Fidelity,Attack Mode,1739566800,22142,2025_7
50070,50428,Business &amp; Trade Family,Blade Runners,1739458800,22141,2025_7
50927,52860,"SEX,  Sweet-Ecstacy-Xanax",$$$,1739552400,22140,2025_7
52610,52783,Cheddarplanet,The Outback Syndicate,1739592000,22139,2025_7
50502,52968,2 High to Care,Eyes of deceit,1739649600,22138,2025_7
8566,14386,Mismatched,Blue Rock Cartel (BRC),1739466000,22137,2025_7
13665,27370,PT-Penguins,Desert Eagle,1739541600,22136,2025_7
35280,48040,Alcoholic Drug Abusers,The Psychonauts,1739484000,22135,2025_7
53195,53254,Hippie Mafia,New Horizon,1739635200,22134,2025_7
52929,53309,TRYHARD,The Infernal Blaze,1739581200,22133,2025_7
41545,50631,The Imperial Hegemon,The Blue Ducks,1739548800,22132,2025_7
